year,round,driver,pit_loss,predicted_strategy,predicted_pit,predicted_pits,actual_pits,closest_actual,error_laps,within_5_laps
2024,1,VER,22.0,2-stop,24,"[24, 32]","[np.int64(19), np.int64(39)]",19,5,True
2024,1,NOR,22.0,2-stop,11,"[11, 19]","[np.int64(15), np.int64(35)]",15,4,True
2024,1,LEC,22.0,2-stop,11,"[11, 19]","[np.int64(13), np.int64(36)]",13,2,True
2024,1,SAI,22.0,2-stop,28,"[28, 38]","[np.int64(16), np.int64(37)]",37,9,False
2024,1,HAM,22.0,1-stop,11,[11],"[np.int64(14), np.int64(35)]",14,3,True
2024,1,RUS,22.0,1-stop,11,[11],"[np.int64(13), np.int64(33)]",13,2,True
2024,2,VER,19.0,1-stop,11,[11],[np.int64(10)],10,1,True
2024,2,NOR,19.0,2-stop,25,"[25, 33]",[np.int64(39)],39,14,False
2024,2,LEC,19.0,1-stop,11,[11],[np.int64(10)],10,1,True
2024,2,HAM,19.0,2-stop,23,"[23, 31]",[np.int64(38)],38,15,False
2024,2,RUS,19.0,1-stop,12,[12],[np.int64(10)],10,2,True
2024,3,NOR,21.0,1-stop,13,[13],"[np.int64(16), np.int64(42)]",16,3,True
2024,3,LEC,21.0,1-stop,11,[11],"[np.int64(11), np.int64(36)]",11,0,True
2024,3,SAI,21.0,1-stop,15,[15],"[np.int64(19), np.int64(43)]",19,4,True
2024,3,RUS,21.0,2-stop,11,"[11, 19]","[np.int64(10), np.int64(47)]",10,1,True
2024,4,VER,22.0,1-stop,13,[13],"[np.int64(18), np.int64(36)]",18,5,True
2024,4,NOR,22.0,2-stop,13,"[13, 43]","[np.int64(13), np.int64(28)]",13,0,True
2024,4,LEC,22.0,2-stop,11,"[11, 43]",[np.int64(28)],28,17,False
2024,4,SAI,22.0,1-stop,12,[12],"[np.int64(17), np.int64(38)]",17,5,True
2024,4,HAM,22.0,2-stop,11,"[11, 21]","[np.int64(25), np.int64(43)]",25,14,False
2024,4,RUS,22.0,2-stop,11,"[11, 19]","[np.int64(24), np.int64(39)]",24,13,False
2024,5,VER,22.0,2-stop,12,"[12, 20]",[np.int64(15)],15,3,True
2024,5,NOR,22.0,1-stop,20,[20],[np.int64(32)],32,12,False
2024,5,LEC,22.0,1-stop,19,[19],[np.int64(32)],32,13,False
2024,5,SAI,22.0,1-stop,16,[16],[np.int64(19)],19,3,True
2024,5,HAM,22.0,2-stop,11,"[11, 19]",[np.int64(11)],11,0,True
2024,5,RUS,22.0,2-stop,11,"[11, 19]",[np.int64(13)],13,2,True
